ide	au	logau
MPN674	427925000.0	28.672782724862
MPN533	949950000.0	29.82327633922628
MPN564	5048000.0	22.267280479644636
MPN066	191700000.0	27.514275096104964
MPN268	88250000.0	26.395092942595355
MPN062	517400000.0	28.946704813121553
MPN303	409600000.0	28.609640474436812
MPN473	10279500.0	23.29326675704454
MPN017	17545000.0	24.064556611951616
MPN060	360725000.0	28.42632417148463
MPN215	92390000.0	26.461233371576416
MPN216	181550000.0	27.435791689237018
MPN218	143900000.0	27.10049135117711
MPN236	301550000.0	28.16782199429684
MPN237	48125000.0	25.520283204906438
MPN238	166800000.0	27.313544047881475
MPN304	93685000.0	26.481314739225603
MPN308	4625000.0	22.141021934953123
MPN318	29850000.0	24.831227595701616
MPN319	20110000.0	24.261409745854802
MPN348	42555000.0	25.342825315544964
MPN560	8380000.0	22.9985188132488
MPN576	135850000.0	27.01743932465879
MPN025	674200000.0	29.32860138642102
MPN043	104250000.0	26.635472142768837
MPN050	166450000.0	27.310513629577073
MPN051	277500000.0	28.047912530561643
MPN053	867950000.0	29.693036694821952
MPN063	254750000.0	27.924506905489988
MPN073	105010000.0	26.64595147997558
MPN078	27765000.0	24.72676406014118
MPN079	21110000.0	24.331423242896605
MPN082	311700000.0	28.21558291406218
MPN207	657250000.0	29.291866995942218
MPN250	552400000.0	29.041138078694864
MPN251	41555000.0	25.308518740273716
MPN257	71225000.0	26.085880380760663
MPN302	292650000.0	28.124601037766993
MPN394	1049750000.0	29.967398642159193
MPN428	449900000.0	28.745029126015858
MPN429	460900000.0	28.779878526773462
MPN430	1999750000.0	30.897172505834156
MPN483	45320000.0	25.433644525369964
MPN492	22730000.0	24.438094348367297
MPN493	22170000.0	24.402105434416757
MPN494	48045000.0	25.517882963045288
MPN495	123000000.0	26.874083074663414
MPN496	7242000	22.787956746138263
MPN498	14350000.0	23.7745474011125
MPN595	38000000	25.17949608276776
MPN597	55350000.0	25.722079981218364
MPN598	640150000.0	29.253834756243133
MPN599	59250000.0	25.820311818222432
MPN600	247050000.0	27.88022781488432
MPN601	52045000.0	25.633256233659473
MPN602	104380000.0	26.637270066169968
MPN603	4408500.0	22.071856429034575
MPN604	30570000.0	24.86561321643642
MPN606	949950000.0	29.82327633922628
MPN627	316700000.0	28.238541626465
MPN628	151200000.0	27.171882898657884
MPN629	295550000.0	28.138826979687703
MPN652	6451500.0	22.621203201327894
MPN653	51030000.0	25.60484230593399
MPN667	46850000.0	25.481545712095997
MPN664	174000000.0	27.3745120651729
MPN299	82295000.0	26.294301443651456
MPN336	62210000.0	25.89064317046469
MPN350	3000000	21.516531070045332
MPN406	61585000.0	25.876075666741563
MPN421	10000000	23.253496664211536
MPN435	16000000	23.931568569324174
MPN445	61240000.0	25.867970947049237
MPN472	89600000.0	26.416995396494414
MPN479	788900000.0	29.555267196666637
MPN519	23860000.0	24.508090707244676
MPN532	81250000.0	26.275864477239992
MPN546	101700000.0	26.599744438294312
MPN547	154000000.0	27.198355110019076
MPN566	98000000.0	26.54627841343938
MPN006	51335000.0	25.613439449285615
MPN033	46435000.0	25.46870929912917
MPN044	68435000.0	26.028231021661398
MPN064	202900000.0	27.59619362419347
MPN065	91050000.0	26.44015568141365
MPN134	135350000.0	27.012119646651776
MPN135	26000000	24.632008287465265
MPN136	16595000.0	23.98424529362775
MPN185	181100000.0	27.43221130538698
MPN240	144750000.0	27.10898810731341
MPN246	176950000.0	27.398766520862043
MPN258	137185000.0	27.03154750293712
MPN259	59045000.0	25.81531155989462
MPN260	51095000.0	25.6066787845694
MPN320	415500000.0	28.630273236094517
MPN321	229990000.0	27.77699589303356
MPN322	453500000.0	28.756527309852697
MPN323	93045000.0	26.471425289842358
MPN324	494850000.0	28.882416037722898
MPN386	435700000.0	28.698759872351978
MPN395	155000000.0	27.207692974598412
MPN476	82280000.0	26.294038458074382
MPN528	341550000.0	28.34752155129459
MPN561	10024000.0	23.25695498398395
MPN632	55140000.0	25.71659593155964
MPN672	9621000.0	23.19775542382489
MPN047	28670000.0	24.773038568789975
MPN158	26860000.0	24.67895596897689
MPN267	524350000.0	28.965954881364933
MPN382	4208500.0	22.004874686660692
MPN488	36250000.0	25.11147765933911
MPN550	32555000.0	24.956375802724747
MPN562	64115000.0	25.934158585704182
pyrcomp	1120618750.0	30.061648390793998
